date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:51:13	677/677	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2030%20May%202018%2009:51:13%20GMT	http://templates.aucreative.co/robots.txt		(from )
11:51:14	7505/7505	---M-Z	200	added ('OK')	text/html	etag:%22262f60-1d51-56bd22203855a-gzip%22	http://templates.aucreative.co/arges/	C:/My%20Web%20Sites/Tez%20Gaming/templates.aucreative.co/arges/index.html	(from )
11:51:14	1865/1865	---M--	200	added ('OK')	image/png	etag:%22382e16-749-56a453ce35489%22	http://templates.aucreative.co/arges/images/icons/favicon.png	C:/My%20Web%20Sites/Tez%20Gaming/templates.aucreative.co/arges/images/icons/favicon.png	(from http://templates.aucreative.co/arges/)
11:51:16	124962/124962	---M--	200	added ('OK')	text/css	etag:%22262f34-1e822-56a4529d7a521%22	http://templates.aucreative.co/arges/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/Tez%20Gaming/templates.aucreative.co/arges/vendor/bootstrap/css/bootstrap.min.css	(from http://templates.aucreative.co/arges/)
11:51:17	31000/31000	---M--	200	added ('OK')	text/css	etag:%223a0dc6-7918-56a454c6a50be%22	http://templates.aucreative.co/arges/fonts/font-awesome-4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/Tez%20Gaming/templates.aucreative.co/arges/fonts/font-awesome-4.7.0/css/font-awesome.min.css	(from http://templates.aucreative.co/arges/)
11:51:18	35359/35359	---M--	200	added ('OK')	text/css	etag:%223e02db-8a1f-56a4a0456dc0b%22	http://templates.aucreative.co/arges/fonts/fontawesome-5.0.8/css/fontawesome-all.min.css	C:/My%20Web%20Sites/Tez%20Gaming/templates.aucreative.co/arges/fonts/fontawesome-5.0.8/css/fontawesome-all.min.css	(from http://templates.aucreative.co/arges/)
11:51:19	23848/23848	---M--	200	added ('OK')	text/css	etag:%22262ee6-5d28-56a45246117b1%22	http://templates.aucreative.co/arges/vendor/animate/animate.css	C:/My%20Web%20Sites/Tez%20Gaming/templates.aucreative.co/arges/vendor/animate/animate.css	(from http://templates.aucreative.co/arges/)
11:51:20	19680/19680	---M--	200	added ('OK')	text/css	etag:%22262eef-4ce0-56a4524f49d89%22	http://templates.aucreative.co/arges/vendor/css-hamburgers/hamburgers.min.css	C:/My%20Web%20Sites/Tez%20Gaming/templates.aucreative.co/arges/vendor/css-hamburgers/hamburgers.min.css	(from http://templates.aucreative.co/arges/)
11:51:21	27478/27478	---M--	200	added ('OK')	text/css	etag:%22262f23-6b56-56a4528aabd6d%22	http://templates.aucreative.co/arges/vendor/animsition/css/animsition.min.css	C:/My%20Web%20Sites/Tez%20Gaming/templates.aucreative.co/arges/vendor/animsition/css/animsition.min.css	(from http://templates.aucreative.co/arges/)
11:51:22	15196/15196	---M--	200	added ('OK')	text/css	etag:%22262f0e-3b5c-56a4527591f3b%22	http://templates.aucreative.co/arges/vendor/select2/select2.min.css	C:/My%20Web%20Sites/Tez%20Gaming/templates.aucreative.co/arges/vendor/select2/select2.min.css	(from http://templates.aucreative.co/arges/)
